Time (s),Center TC 01,Center TC 02,Center TC 03,Center TC 04,Center TC 05,Center TC 06,Center TC 07,Center TC 08,Center TC 09,Center TC 10,Center TC 11,Center TC 12,,North Heat Flux,South Heat Flux,Average HF
174,767.6936974,742.490686,614.3725587,515.6806417,491.5184983,403.5566908,306.7753635,249.2916549,209.014064,179.3944444,172.4964765,149.4720788,,1.968664461,2.328160646,2.148412554
175,774.752451,761.0670999,648.7417174,538.9470211,539.6445383,433.6541683,329.6607726,259.3470627,213.1902324,180.4393301,173.7658218,150.0163335,,1.86320631,2.320788085,2.091997198
176,780.1694739,782.9677344,680.2961957,583.6426563,581.0343558,473.533672,353.3535191,278.0511761,230.3402735,194.3782,183.655971,154.6574029,,1.858826259,2.341650864,2.100238562
177,776.0893759,776.6719689,699.0946231,609.890765,620.4837917,509.5996858,384.7423016,299.4778313,255.2443482,216.1637477,199.6636789,171.0655321,,1.783354611,2.401886256,2.092620434
178,797.9585465,796.5564346,709.683063,625.2235011,624.9545707,517.4004175,400.5152895,317.4641767,265.1919482,222.6883788,204.3350457,172.4100769,,1.888138908,2.373494053,2.130816481
179,798.496165,806.151736,741.8287144,663.6169564,644.2326057,540.4196893,424.7344803,340.3630966,276.6060956,228.7064102,204.3152298,170.3423418,,1.869270996,2.347141069,2.108206033
180,798.5498636,817.7779043,753.3815428,677.181191,662.8677517,547.4423634,442.265995,356.8348332,295.0593105,239.0665998,211.3864096,174.9450354,,1.835578296,2.389964668,2.112771482
181,801.7935511,814.7719781,748.5005115,675.2928669,651.4802492,541.1553521,447.7482354,357.4056225,293.807194,239.3483805,217.1412067,181.1447523,,1.801885596,2.318592003,2.0602388
182,813.14055,823.9922715,742.342098,683.3134113,646.6923012,547.0308401,465.6944553,370.9759243,301.3852223,249.5833559,219.9837482,186.2505146,,1.815362676,2.42980787,2.122585273
183,824.191809,822.2629494,749.0272291,677.115733,626.4779156,533.7746616,454.6373943,367.9659932,296.3444952,246.1260444,216.0426593,182.6496781,,1.759095867,2.456631443,2.107863655
184,819.3364338,819.2348124,750.3042533,688.1704822,658.995614,561.9067164,470.1215295,387.6987436,313.5897332,259.7455616,229.1169304,192.6108447,,1.7520204,2.490043262,2.121031831
185,825.5683009,823.2868873,748.3159368,694.5260518,670.8528531,573.0535461,487.1877296,405.2156754,329.9064992,273.8586567,239.3632966,204.3550396,,1.780322268,2.544004134,2.162163201
186,826.5002192,840.7065222,764.4066138,701.2589144,654.7646999,560.8132558,481.1180418,400.753647,328.0444793,270.789976,229.1600839,195.9060521,,1.764149772,2.699141641,2.231645707
